Sector Code - Calculated,Transaction Year - Calculated,Recipient Name,Reporting Organisation Narrative,x_transaction_value_usd_Sum
13020,2016,Ukraine,U.S. Agency for International Development,1558000
13020,2016,United Kingdom of Great Britain and Northern Ireland (the),Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Uruguay,UNICEF,169492.38
13020,2016,Uzbekistan,Aidsfonds - Soaaids Nederland,4750
13020,2016,Uzbekistan,UNICEF,1345734.431
13020,2016,Vanuatu,Australian Aid,143280.2283
13020,2016,Vanuatu,New Zealand Ministry of Foreign Affairs and Trade,55764.4608
13020,2016,Venezuela (Bolivarian Republic of),UNICEF,97131.305
13020,2016,Viet Nam,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Viet Nam,Frontline AIDS,115071.3979
13020,2016,Viet Nam,Sweden,111026.7048
13020,2016,Viet Nam,UNICEF,1028820.61
13020,2016,Yemen,European Commission - International Partnerships,-1055795.142
13020,2016,Yemen,Ministry of Foreign Affairs of the Netherlands,1967826.942
13020,2016,Yemen,UNICEF,95648.36
13020,2016,Yemen,U.S. Agency for International Development,3565739.25
13020,2016,Yemen,World Bank,10101292.47
13020,2016,Zambia,Aidsfonds - Soaaids Nederland,3964.285714
13020,2016,Zambia,Bill and Melinda Gates Foundation,3010058.761
13020,2016,Zambia,Charity Projects Ltd (Comic Relief),374241.868
13020,2016,Zambia,CHOICE for Youth and Sexuality,83537.19859
13020,2016,Zambia,European Commission - International Partnerships,69866.2976
13020,2016,Zambia,"Foreign, Commonwealth and Development Office",2024758.514
13020,2016,Zambia,Norad - Norwegian Agency for Development Cooperation,403227.93
13020,2016,Zambia,Plan International Netherlands,824597.9482
13020,2016,Zambia,Royal Tropical Institute,215407.5136
13020,2016,Zambia,Rutgers,4195.89522
13020,2016,Zambia,Sweden,3817758.897
13020,2016,Zambia,UNICEF,10682271.9
13020,2016,Zambia,U.S. Agency for International Development,8764331.49
13020,2016,Zimbabwe,Aidsfonds - Soaaids Nederland,8714.285714
13020,2016,Zimbabwe,dance4life,302048.6832
13020,2016,Zimbabwe,European Commission - International Partnerships,535782.522
13020,2016,Zimbabwe,Family Aids Caring Trust,681447.8058
13020,2016,Zimbabwe,"Foreign Affairs, Trade and Development Canada (DFATD)",-11881.8
13020,2016,Zimbabwe,"Foreign, Commonwealth and Development Office",16386477.78
13020,2016,Zimbabwe,Save The Children International,869126.6214
13020,2016,Zimbabwe,Sweden,300282.4365
13020,2016,Zimbabwe,UNICEF,3748678.765
13020,2016,Zimbabwe,U.S. Agency for International Development,9066891.48
13020,2016,,Australian Aid,6223877.858
13020,2016,,International Development Research Centre,575071.8099
13020,2016,,UNICEF,2583951.575
13020,2016,,,1321433.343
13020,2017,,Plan International Netherlands,3819085.028
13020,2017,Afghanistan,Cyan International,101047.2469
13020,2017,Afghanistan,Ministry for Foreign Affairs of Finland,5646500
13020,2017,Afghanistan,Norad - Norwegian Agency for Development Cooperation,1513702.215
13020,2017,Afghanistan,Sweden,1190968.073
13020,2017,Afghanistan,UNICEF,43368407.41
13020,2017,Afghanistan,U.S. Agency for International Development,221731843.6
13020,2017,"Africa, regional",Bill and Melinda Gates Foundation,4434836.35
13020,2017,"Africa, regional",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),22540000
13020,2017,"Africa, regional","Foreign Affairs, Trade and Development Canada (DFATD)",3833237.5
13020,2017,"Africa, regional","Foreign, Commonwealth and Development Office",79221518.83
13020,2017,"Africa, regional",Frontline AIDS,5544.454598
13020,2017,"Africa, regional",International Development Research Centre,817388.007
13020,2017,"Africa, regional",Ipas,2423050
13020,2017,"Africa, regional","Ministry of Foreign Affairs, Denmark",2876600
13020,2017,"Africa, regional",Ministry of Foreign Affairs of the Netherlands,2384060.713
13020,2017,"Africa, regional",Rutgers,3643857.878
13020,2017,"Africa, regional",Sweden,393007.2212
13020,2017,"Africa, regional",U.S. Agency for International Development,13302883.43
13020,2017,Albania,Aidsfonds - Soaaids Nederland,8304.941964
13020,2017,Albania,UNICEF,
13020,2017,Algeria,Aidsfonds - Soaaids Nederland,4340.65625
13020,2017,Algeria,European Commission - DG Neighbourhood and Enlargement Negotiations,84341.4543
13020,2017,Algeria,UNICEF,166266.12
13020,2017,"America, regional",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),9016000
13020,2017,"America, regional",European Commission - International Partnerships,478707.6387
13020,2017,"America, regional","Foreign Affairs, Trade and Development Canada (DFATD)",1984037.5
13020,2017,"America, regional",U.S. Agency for International Development,4515133.06
13020,2017,Angola,Aidsfonds - Soaaids Nederland,8304.941964
13020,2017,Angola,UNICEF,808571.503
13020,2017,Angola,U.S. Agency for International Development,116326.84
13020,2017,Angola,World Bank,10171634
13020,2017,Antigua and Barbuda,Aidsfonds - Soaaids Nederland,15141.20863
13020,2017,Antigua and Barbuda,World Health Organization,3179.8
13020,2017,Argentina,Aidsfonds - Soaaids Nederland,4340.65625
13020,2017,Argentina,International Development Research Centre,44646.39135
13020,2017,Argentina,UNICEF,3352057.758
13020,2017,Argentina,World Bank,-13519957.2
13020,2017,Argentina,World Health Organization,103959.2
13020,2017,Armenia,Aidsfonds - Soaaids Nederland,4340.65625
13020,2017,Armenia,UNICEF,453517.515
13020,2017,Armenia,U.S. Agency for International Development,613380.26
13020,2017,Armenia,World Bank,161123.05
13020,2017,"Asia, regional",Bill and Melinda Gates Foundation,2242526.55
13020,2017,"Asia, regional","Foreign Affairs, Trade and Development Canada (DFATD)",2600437.5
13020,2017,"Asia, regional","Foreign, Commonwealth and Development Office",2039567.235
13020,2017,"Asia, regional",Frontline AIDS,22267.85016
13020,2017,"Asia, regional",International Planned Parenthood Federation,2539248.687
13020,2017,"Asia, regional",Ipas,1183350
13020,2017,"Asia, regional",Rutgers,3643857.878
13020,2017,"Asia, regional",U.S. Agency for International Development,2714194.91
13020,2017,Australia,Aidsfonds - Soaaids Nederland,8304.941964
13020,2017,Austria,Aidsfonds - Soaaids Nederland,3964.285714
13020,2017,Azerbaijan,UNICEF,61004.811
13020,2017,Azerbaijan,U.S. Agency for International Development,250000
13020,2017,Bahamas (the),Aidsfonds - Soaaids Nederland,6836.266667
13020,2017,Bahamas (the),World Health Organization,32561.5
13020,2017,Bangladesh,Aidsfonds - Soaaids Nederland,19964.28571
13020,2017,Bangladesh,Bill and Melinda Gates Foundation,1199096.922
13020,2017,Bangladesh,dance4life,314956.1235
13020,2017,Bangladesh,European Commission - International Partnerships,474975.6749
13020,2017,Bangladesh,"Foreign Affairs, Trade and Development Canada (DFATD)",8525105.766
13020,2017,Bangladesh,"Foreign, Commonwealth and Development Office",4013592.4
13020,2017,Bangladesh,International Development Research Centre,121053.255
13020,2017,Bangladesh,Ipas,1050136.11
13020,2017,Bangladesh,LAMB Health Care Foundation,217222.6336
13020,2017,Bangladesh,Ministry of Foreign Affairs of the Netherlands,5507567.868
13020,2017,Bangladesh,MSI Reproductive Choices,13849625.59
13020,2017,Bangladesh,Population Services and Training Center (PSTC),317983.926
13020,2017,Bangladesh,Rutgers,7082066.16
13020,2017,Bangladesh,Sweden,6060957.061
13020,2017,Bangladesh,UNICEF,8963815.298
13020,2017,Bangladesh,U.S. Agency for International Development,32739293.77
13020,2017,Bangladesh,World Bank,90000000
13020,2017,Bangladesh,Y Care International,331484.724
13020,2017,Bangladesh,Young Women's Christian Association of Bangladesh,358508.1139
13020,2017,Barbados,Aidsfonds - Soaaids Nederland,6836.266667
13020,2017,Barbados,World Health Organization,21971.2
13020,2017,Belarus,Aidsfonds - Soaaids Nederland,4340.65625
13020,2017,Belgium,Aidsfonds - Soaaids Nederland,4340.65625
13020,2017,Belize,Aidsfonds - Soaaids Nederland,11176.92292
13020,2017,Belize,Bill and Melinda Gates Foundation,961875
13020,2017,Belize,UNICEF,248542.742
13020,2017,Belize,World Health Organization,2781.4
13020,2017,Benin,AFD,4424796.778
13020,2017,Benin,Aidsfonds - Soaaids Nederland,4340.65625
13020,2017,Benin,Cordaid,327921.9278
13020,2017,Benin,"Foreign Affairs, Trade and Development Canada (DFATD)",522280.0991
13020,2017,Benin,International Development Research Centre,8428.692125
13020,2017,Benin,Memisa Belgique asbl,946371.13
13020,2017,Benin,Ministry of Foreign Affairs of the Netherlands,23099223.94
13020,2017,Benin,Swiss Agency for Development and Cooperation (SDC),5385.8058
13020,2017,Benin,UNICEF,3340083.252
13020,2017,Benin,U.S. Agency for International Development,6123068.11
13020,2017,Bhutan,Bill and Melinda Gates Foundation,32800
13020,2017,Bhutan,"Foreign Affairs, Trade and Development Canada (DFATD)",1680.084014
13020,2017,Bhutan,UNICEF,1279182.469
13020,2017,Bolivia (Plurinational State of),Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),297611.398
13020,2017,Bolivia (Plurinational State of),dance4life,314956.1235
13020,2017,Bolivia (Plurinational State of),DFAT / Irish Aid,31290.6444
13020,2017,Bolivia (Plurinational State of),"Foreign Affairs, Trade and Development Canada (DFATD)",107629.1349
13020,2017,Bolivia (Plurinational State of),Frontline AIDS,37857.73437
13020,2017,Bolivia (Plurinational State of),"Ministry of Foreign Affairs, Denmark",-8498.9904
13020,2017,Bolivia (Plurinational State of),Sweden,11641511.64
13020,2017,Bolivia (Plurinational State of),UNICEF,134513.656
13020,2017,Bolivia (Plurinational State of),World Health Organization,215625.3
13020,2017,Bosnia and Herzegovina,Aidsfonds - Soaaids Nederland,3964.285714
13020,2017,Bosnia and Herzegovina,Swiss Agency for Development and Cooperation (SDC),275799.645
13020,2017,Botswana,Aidsfonds - Soaaids Nederland,8304.941964
13020,2017,Botswana,Frontline AIDS,40064.40567
13020,2017,Brazil,Aidsfonds - Soaaids Nederland,3964.285714
13020,2017,Brazil,UNICEF,307.368
13020,2017,Brazil,World Bank,-4146719.58
13020,2017,Bulgaria,Aidsfonds - Soaaids Nederland,3964.285714
13020,2017,Bulgaria,UNICEF,158760.605
13020,2017,Burkina Faso,Aidsfonds - Soaaids Nederland,8304.941964
13020,2017,Burkina Faso,Bill and Melinda Gates Foundation,1727929.25
13020,2017,Burkina Faso,"Foreign Affairs, Trade and Development Canada (DFATD)",630224.9089
13020,2017,Burkina Faso,Frontline AIDS,41582.53942
13020,2017,Burkina Faso,MSI Reproductive Choices,7656895.6
13020,2017,Burkina Faso,UNICEF,1367636.263
13020,2017,Burkina Faso,U.S. Agency for International Development,1000000
13020,2017,Burkina Faso,World Bank,461351.64
13020,2017,Burundi,Aidsfonds - Soaaids Nederland,3964.285714
13020,2017,Burundi,"Foreign Affairs, Trade and Development Canada (DFATD)",548760.5044
13020,2017,Burundi,Frontline AIDS,95674.31756
13020,2017,Burundi,Handicap International Belgique,803642.5111
13020,2017,Burundi,Memisa Belgique asbl,51621.65816
13020,2017,Burundi,Ministry of Foreign Affairs of the Netherlands,1349694.188
13020,2017,Burundi,Swiss Agency for Development and Cooperation (SDC),10073.76
13020,2017,Burundi,UNICEF,1902060.328
13020,2017,Burundi,U.S. Agency for International Development,4340189.45
13020,2017,Cabo Verde,UNICEF,29779.635
13020,2017,Cambodia,Aidsfonds - Soaaids Nederland,19964.28571
13020,2017,Cambodia,"Foreign Affairs, Trade and Development Canada (DFATD)",3722.476759
13020,2017,Cambodia,Frontline AIDS,40953.83942
13020,2017,Cambodia,UNICEF,1827948.134
13020,2017,Cambodia,U.S. Agency for International Development,12943123.14
13020,2017,Cambodia,World Bank,624496.32
13020,2017,Cameroon,Aidsfonds - Soaaids Nederland,41464.28571
13020,2017,Cameroon,Cordaid,800028.5164
13020,2017,Cameroon,"Foreign Affairs, Trade and Development Canada (DFATD)",11910.38738
13020,2017,Cameroon,International Development Research Centre,6093.8845
13020,2017,Cameroon,Swiss Agency for Development and Cooperation (SDC),31733.25795
13020,2017,Cameroon,UNICEF,2267847.373
13020,2017,Cameroon,World Bank,-114910.76
13020,2017,Canada,Aidsfonds - Soaaids Nederland,4340.65625
13020,2017,Canada,"Foreign Affairs, Trade and Development Canada (DFATD)",50491.33064
13020,2017,Central African Republic (the),Cordaid,746544.9733
13020,2017,Central African Republic (the),Swiss Agency for Development and Cooperation (SDC),220718.925
13020,2017,Central African Republic (the),UNICEF,83296.975
13020,2017,"Central America, regional",Sweden,737100.7371
13020,2017,"Central Asia, regional",International Planned Parenthood Federation,896205.4189
13020,2017,"Central Asia, regional",U.S. Agency for International Development,-1.44
13020,2017,Chad,Cyan International,85706.1839
13020,2017,Chad,European Commission - International Partnerships,-1340077.352
13020,2017,Chad,"Foreign Affairs, Trade and Development Canada (DFATD)",52008.75
13020,2017,Chad,Swiss Agency for Development and Cooperation (SDC),279699.165
13020,2017,Chad,UNICEF,1105015.815
13020,2017,Chile,UNICEF,7695.61
13020,2017,Chile,World Health Organization,7925.2
13020,2017,China,Aidsfonds - Soaaids Nederland,3964.285714
13020,2017,China,Frontline AIDS,79934.31089
13020,2017,China,UNICEF,5224019.246
13020,2017,Colombia,"Foreign Affairs, Trade and Development Canada (DFATD)",55207.10783
13020,2017,Colombia,UNICEF,478315.446
13020,2017,Colombia,World Health Organization,61180.8
13020,2017,Comoros (the),UNICEF,309574.878
13020,2017,Congo (the),UNICEF,150090.606
13020,2017,Congo (the),U.S. Agency for International Development,56621.1
13020,2017,Congo (the),World Bank,1684775.25
13020,2017,Congo (the Democratic Republic of the),Aidsfonds - Soaaids Nederland,45804.94196
13020,2017,Congo (the Democratic Republic of the),Bill and Melinda Gates Foundation,1109682.92
13020,2017,Congo (the Democratic Republic of the),Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),642390
13020,2017,Congo (the Democratic Republic of the),CARE International UK,639964.4195
13020,2017,Congo (the Democratic Republic of the),Cordaid,1372993.626
13020,2017,Congo (the Democratic Republic of the),"Foreign Affairs, Trade and Development Canada (DFATD)",816271.1671
13020,2017,Congo (the Democratic Republic of the),"Foreign, Commonwealth and Development Office",5381317.268
13020,2017,Congo (the Democratic Republic of the),Frontline AIDS,40064.40567
13020,2017,Congo (the Democratic Republic of the),Handicap International Belgique,648810.3485
13020,2017,Congo (the Democratic Republic of the),Memisa Belgique asbl,2206827.985
13020,2017,Congo (the Democratic Republic of the),Ministry of Foreign Affairs of the Netherlands,430622.4174
13020,2017,Congo (the Democratic Republic of the),Population Services International,372811.2918
13020,2017,Congo (the Democratic Republic of the),Sweden,1755001.755
13020,2017,Congo (the Democratic Republic of the),Swiss Agency for Development and Cooperation (SDC),2351416.247
13020,2017,Congo (the Democratic Republic of the),UNICEF,2836879.024
13020,2017,Congo (the Democratic Republic of the),U.S. Agency for International Development,59022675.59
13020,2017,Cook Islands (the),Australian Aid,19572.49409
13020,2017,Costa Rica,Bill and Melinda Gates Foundation,961875
13020,2017,Costa Rica,World Health Organization,13343.9
13020,2017,Côte d'Ivoire,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),22540000
13020,2017,Côte d'Ivoire,Frontline AIDS,40811.31067
13020,2017,Côte d'Ivoire,Population Services International,3723303.229
13020,2017,Côte d'Ivoire,UNICEF,3820409.972
13020,2017,Côte d'Ivoire,U.S. Agency for International Development,-135.95
13020,2017,Croatia,Aidsfonds - Soaaids Nederland,4340.65625
13020,2017,Croatia,UNICEF,354811.017
13020,2017,Cuba,UNICEF,385713.759
13020,2017,Cuba,World Health Organization,13999.3
13020,2017,"Developing countries, unspecified",AICS - Italian Agency for Cooperation and Development,7212800
13020,2017,"Developing countries, unspecified",Bill and Melinda Gates Foundation,150451717.1
13020,2017,"Developing countries, unspecified",DFAT / Irish Aid,564650
13020,2017,"Developing countries, unspecified","Foreign, Commonwealth and Development Office",62059942.27
13020,2017,"Developing countries, unspecified",Frontline AIDS,844208.2738
13020,2017,"Developing countries, unspecified",International Development Research Centre,6772.695
13020,2017,"Developing countries, unspecified",International Planned Parenthood Federation,1341608.4
13020,2017,"Developing countries, unspecified",International Rescue Committee Inc.,252201.6486
13020,2017,"Developing countries, unspecified",Ipas,1127000
13020,2017,"Developing countries, unspecified",IRC-UK,87047.63914
13020,2017,"Developing countries, unspecified",Ministry for Foreign Affairs of Finland,8469750
13020,2017,"Developing countries, unspecified","Ministry of Foreign Affairs, Denmark",144943014.7
13020,2017,"Developing countries, unspecified",Ministry of Foreign Affairs of the Netherlands,180734814
13020,2017,"Developing countries, unspecified",MSI Reproductive Choices,1875669.391
13020,2017,"Developing countries, unspecified",New Zealand Ministry of Foreign Affairs and Trade,4300945
13020,2017,"Developing countries, unspecified",Norad - Norwegian Agency for Development Cooperation,63352567.2
13020,2017,"Developing countries, unspecified",Sweden,38920916.78
13020,2017,"Developing countries, unspecified",Swiss Agency for Development and Cooperation (SDC),4471165.158
13020,2017,"Developing countries, unspecified",U.S. Agency for International Development,127712989.9
13020,2017,Djibouti,AICS - Italian Agency for Cooperation and Development,1343.708898
13020,2017,Djibouti,UNICEF,278960.32
13020,2017,Djibouti,U.S. Agency for International Development,270
13020,2017,Dominica,Aidsfonds - Soaaids Nederland,6836.266667
13020,2017,Dominica,World Health Organization,6810
13020,2017,Dominican Republic (the),Aidsfonds - Soaaids Nederland,6836.266667
13020,2017,Dominican Republic (the),UNICEF,1213090
13020,2017,Dominican Republic (the),U.S. Agency for International Development,0
13020,2017,Dominican Republic (the),World Health Organization,237663
13020,2017,"Eastern Africa, regional",Sweden,426293.9043
13020,2017,Ecuador,Aidsfonds - Soaaids Nederland,3964.285714
13020,2017,Ecuador,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),671786.0256
13020,2017,Ecuador,Flemish Interuniversity Council for University Development Cooperation (VLIR-UOS),
13020,2017,Ecuador,"Foreign Affairs, Trade and Development Canada (DFATD)",55207.10783
13020,2017,Ecuador,Frontline AIDS,40814.40567
13020,2017,Ecuador,UNICEF,876501.77
13020,2017,Ecuador,World Health Organization,313557.4
13020,2017,Egypt,Swiss Agency for Development and Cooperation (SDC),731160
13020,2017,Egypt,UNICEF,1939741.178
13020,2017,Egypt,U.S. Agency for International Development,171144.4
13020,2017,El Salvador,Bill and Melinda Gates Foundation,961875
13020,2017,El Salvador,Frontline AIDS,40314.40567
13020,2017,El Salvador,UNICEF,320411.951
13020,2017,El Salvador,World Bank,5634847
13020,2017,El Salvador,World Health Organization,191047.4
13020,2017,Equatorial Guinea,Bill and Melinda Gates Foundation,55300
13020,2017,Equatorial Guinea,UNICEF,16032.625
13020,2017,Eritrea,UNICEF,110984.92
13020,2017,Estonia,Aidsfonds - Soaaids Nederland,4340.65625
13020,2017,Eswatini,Aidsfonds - Soaaids Nederland,3964.285714
13020,2017,Eswatini,Frontline AIDS,40064.40567
13020,2017,Eswatini,UNICEF,1272540.052
13020,2017,Ethiopia,AICS - Italian Agency for Cooperation and Development,1547770.206
13020,2017,Ethiopia,Aidsfonds - Soaaids Nederland,41464.28571
13020,2017,Ethiopia,Amref Flying Doctors,598180.6956
13020,2017,Ethiopia,Amref Health Africa in Ethiopia,900669.9406
13020,2017,Ethiopia,Bill and Melinda Gates Foundation,9426080.342
13020,2017,Ethiopia,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),522941.1296
13020,2017,Ethiopia,Charity Projects Ltd (Comic Relief),540753.4225
13020,2017,Ethiopia,CHOICE for Youth and Sexuality,343391.8745
13020,2017,Ethiopia,Cordaid,558801.3553
13020,2017,Ethiopia,dance4life,7410.963492
13020,2017,Ethiopia,Disability and Development Partners,332438.2065
13020,2017,Ethiopia,Ethiopiaid,333840.7413
13020,2017,Ethiopia,European Commission - International Partnerships,2351486.224
13020,2017,Ethiopia,"Foreign Affairs, Trade and Development Canada (DFATD)",1225431.869
13020,2017,Ethiopia,"Foreign, Commonwealth and Development Office",69880042.91
13020,2017,Ethiopia,Frontline AIDS,76359.63205
13020,2017,Ethiopia,International Development Research Centre,53176.0575
13020,2017,Ethiopia,International Planned Parenthood Federation,125106.0406
13020,2017,Ethiopia,Ministry of Foreign Affairs of the Netherlands,30253137.29
13020,2017,Ethiopia,MSI Reproductive Choices,10938422.29
13020,2017,Ethiopia,Netherlands Enterprise Agency,25357.5
13020,2017,Ethiopia,Plan International Netherlands,106639.7829
13020,2017,Ethiopia,Royal Tropical Institute,239150.8792
13020,2017,Ethiopia,Rutgers,7150013.318
13020,2017,Ethiopia,Save The Children International,1241403.722
13020,2017,Ethiopia,Sweden,12227569.96
13020,2017,Ethiopia,UNICEF,76475436.84
13020,2017,Ethiopia,U.S. Agency for International Development,75692796.58
13020,2017,"Europe, regional","Foreign Affairs, Trade and Development Canada (DFATD)",751237.5
13020,2017,"Far East Asia, regional",Bill and Melinda Gates Foundation,32800
13020,2017,"Far East Asia, regional",Rutgers,1147390.087
13020,2017,Fiji,Aidsfonds - Soaaids Nederland,3964.285714
13020,2017,Fiji,Australian Aid,796622.611
13020,2017,Fiji,UNICEF,295279.295
13020,2017,France,Aidsfonds - Soaaids Nederland,8304.941964
13020,2017,Gabon,Aidsfonds - Soaaids Nederland,4340.65625
13020,2017,Gabon,UNICEF,-17.204
13020,2017,Gambia (the),Bill and Melinda Gates Foundation,30800
13020,2017,Gambia (the),"Foreign Affairs, Trade and Development Canada (DFATD)",1080.054009
13020,2017,Gambia (the),UNICEF,62399.812
13020,2017,Georgia,AFEW International,53070.43713
13020,2017,Georgia,Aidsfonds - Soaaids Nederland,8304.941964
13020,2017,Georgia,UNICEF,1038620.103
13020,2017,Georgia,U.S. Agency for International Development,69078.27
13020,2017,Georgia,World Bank,-219997.28
13020,2017,Germany,Aidsfonds - Soaaids Nederland,8304.941964
13020,2017,Ghana,Aidsfonds - Soaaids Nederland,3964.285714
13020,2017,Ghana,Bill and Melinda Gates Foundation,560734
13020,2017,Ghana,dance4life,11329.47639
13020,2017,Ghana,"Foreign Affairs, Trade and Development Canada (DFATD)",1119972.888
13020,2017,Ghana,"Foreign, Commonwealth and Development Office",1143098.583
13020,2017,Ghana,International Planned Parenthood Federation,234290.5896
13020,2017,Ghana,International Service,4675.93889
13020,2017,Ghana,Ministry of Foreign Affairs of the Netherlands,322959.4726
13020,2017,Ghana,MSI Reproductive Choices,8750737.829
13020,2017,Ghana,Netherlands Enterprise Agency,25356.373
13020,2017,Ghana,Rutgers,72691.9117
13020,2017,Ghana,Savana Signatures,
13020,2017,Ghana,Stichting Simavi,
13020,2017,Ghana,UNICEF,1690668.212
13020,2017,Ghana,U.S. Agency for International Development,23906391.02
13020,2017,Ghana,World Bank,427824
13020,2017,Greece,Aidsfonds - Soaaids Nederland,4340.65625
13020,2017,Guatemala,Bill and Melinda Gates Foundation,1194771.75
13020,2017,Guatemala,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),499310.588
13020,2017,Guatemala,"Foreign Affairs, Trade and Development Canada (DFATD)",511805.6598
13020,2017,Guatemala,UNICEF,831433.764
13020,2017,Guatemala,U.S. Agency for International Development,4951791.21
13020,2017,Guatemala,World Bank,-1268273.82
13020,2017,Guatemala,World Health Organization,119983.8
13020,2017,Guinea,Aidsfonds - Soaaids Nederland,3964.285714
13020,2017,Guinea,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),16905000
13020,2017,Guinea,Memisa Belgique asbl,275318.4885
13020,2017,Guinea,UNICEF,1731926.342
13020,2017,Guinea,U.S. Agency for International Development,23151185.65
13020,2017,Guinea,World Bank,-190429.14
13020,2017,Guinea-Bissau,Bill and Melinda Gates Foundation,49000
13020,2017,Guinea-Bissau,UNICEF,426697.652
13020,2017,Guyana,Aidsfonds - Soaaids Nederland,10800.55238
13020,2017,Guyana,"Foreign Affairs, Trade and Development Canada (DFATD)",55207.10783
13020,2017,Guyana,UNICEF,-21.515
13020,2017,Guyana,World Health Organization,24783.7
13020,2017,Haiti,Aidsfonds - Soaaids Nederland,6836.266667
13020,2017,Haiti,"Foreign Affairs, Trade and Development Canada (DFATD)",4312317.919
13020,2017,Haiti,Frontline AIDS,40064.40567
13020,2017,Haiti,Haiti Hospital Appeal,49200.92345
13020,2017,Haiti,Population Services International,830076.1548
13020,2017,Haiti,UNICEF,2341792.252
13020,2017,Haiti,U.S. Agency for International Development,25313741.34
13020,2017,Haiti,World Health Organization,110656.8
13020,2017,Honduras,Bill and Melinda Gates Foundation,5942669
13020,2017,Honduras,"Foreign Affairs, Trade and Development Canada (DFATD)",506360.5862
13020,2017,Honduras,Norad - Norwegian Agency for Development Cooperation,1152406.347
13020,2017,Honduras,UNICEF,680301.326
13020,2017,Honduras,U.S. Agency for International Development,455914.69
13020,2017,Hungary,Aidsfonds - Soaaids Nederland,3964.285714
13020,2017,India,Aidsfonds - Soaaids Nederland,8304.941964
13020,2017,India,Bill and Melinda Gates Foundation,52761098.51
13020,2017,India,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),404080.215
13020,2017,India,CARE International UK,1390684.155
13020,2017,India,Child In Need Institute,27849.94963
13020,2017,India,EMMS International,302509.3318
13020,2017,India,European Commission - International Partnerships,461894.7107
13020,2017,India,"Foreign, Commonwealth and Development Office",200722.0468
13020,2017,India,Frontline AIDS,170837.6645
13020,2017,India,Memisa Belgique asbl,344187.9817
13020,2017,India,Network for Enterprise Enhancement and Development Support,61863.054
13020,2017,India,Population Services International,224337.7036
13020,2017,India,Stichting Simavi,455540.5022
13020,2017,India,UNICEF,18718382.38
13020,2017,India,U.S. Agency for International Development,30764400.54
13020,2017,India,Voluntary Health Association Of India (VHAI),70323.20495
13020,2017,India,World Bank,-649579.01
13020,2017,Indonesia,Aidsfonds - Soaaids Nederland,8304.941964
13020,2017,Indonesia,Australian Aid,972979.6002
13020,2017,Indonesia,Bill and Melinda Gates Foundation,47551.14
13020,2017,Indonesia,CHOICE for Youth and Sexuality,519140.7409
13020,2017,Indonesia,dance4life,329722.4584
13020,2017,Indonesia,Frontline AIDS,75431.49593
13020,2017,Indonesia,Plan International Netherlands,146883.623
13020,2017,Indonesia,Royal Tropical Institute,255750.4622
13020,2017,Indonesia,Rutgers,7463408.715
13020,2017,Indonesia,Stichting Simavi,
13020,2017,Indonesia,UNICEF,2352302.596
13020,2017,Indonesia,U.S. Agency for International Development,29679941.19
13020,2017,Iran (Islamic Republic of),Australian Aid,11302.632
13020,2017,Iran (Islamic Republic of),UNICEF,106635.855
13020,2017,Iraq,Ministry of Foreign Affairs of the Netherlands,451717.7414
13020,2017,Iraq,Syria Relief,12979672
13020,2017,Iraq,UNICEF,1955124.2
13020,2017,Jamaica,Aidsfonds - Soaaids Nederland,10800.55238
13020,2017,Jamaica,European Commission - International Partnerships,1513426.121
13020,2017,Jamaica,"Foreign Affairs, Trade and Development Canada (DFATD)",1800.090015
13020,2017,Jamaica,UNICEF,270.548
13020,2017,Jamaica,World Health Organization,13936.5
13020,2017,Japan,Aidsfonds - Soaaids Nederland,3964.285714
13020,2017,Jordan,Australian Aid,78994.92012
13020,2017,Jordan,International Development Research Centre,1040367.625
13020,2017,Jordan,Syria Relief,12979672
13020,2017,Jordan,UNICEF,865717.057
13020,2017,Jordan,U.S. Agency for International Development,17446339.68
13020,2017,Kazakhstan,Aidsfonds - Soaaids Nederland,8304.941964
13020,2017,Kazakhstan,UNICEF,1271092.128
13020,2017,Kenya,ACK Development Services (ADS) - Nyanza,
13020,2017,Kenya,African Population and Health Research Center,61400
13020,2017,Kenya,Aidsfonds - Soaaids Nederland,216800.237
13020,2017,Kenya,Amref Flying Doctors,711110.6956
13020,2017,Kenya,Amref Health Africa in Kenya,617790.3408
13020,2017,Kenya,Bill and Melinda Gates Foundation,1351697.55
13020,2017,Kenya,CARE International UK,428337.7869
13020,2017,Kenya,Centre for the Study of Adolescence,
13020,2017,Kenya,Charity Projects Ltd (Comic Relief),164948.9336
13020,2017,Kenya,CHOICE for Youth and Sexuality,229280.4912
