Destination country,Year,Donor rank,Donor organisation,USD deflated millions
Turkey,2020,2,United States of America,185.0837347
Turkey,2020,3,Germany,47.4542928
Turkey,2020,4,Japan,14.02540392
Turkey,2020,5,Syria Cross-border Humanitarian Fund,13.05888713
Turkey,2020,6,United Kingdom,3.741481044
Turkey,2020,7,Norway,2.034812166
Turkey,2020,8,Central Emergency Response Fund,1.311669065
Turkey,2020,9,Switzerland,1.132586177
Turkey,2020,10,France,1.127734105
Turkey,2020,-,All other donors,8.183724742
Iraq,2015,1,United States of America,310.4874809
Iraq,2015,2,EC,131.5473818
Iraq,2015,3,Germany,117.4834517
Iraq,2015,4,Japan,108.5752833
Iraq,2015,5,Canada,57.37627732
Iraq,2015,6,United Kingdom,52.55004816
Iraq,2015,7,Netherlands,45.43173207
Iraq,2015,8,Kuwait,41.59257798
Iraq,2015,9,Norway,36.05822329
Iraq,2015,10,United Arab Emirates,28.99286893
Iraq,2015,-,All other donors,196.5926951
Iraq,2016,1,United States of America,561.9058714
Iraq,2016,2,Germany,509.4496466
Iraq,2016,3,EC,193.0036211
Iraq,2016,4,United Kingdom,125.5334713
Iraq,2016,5,Kuwait,71.94015124
Iraq,2016,6,United Arab Emirates,64.84236778
Iraq,2016,7,Canada,58.37526536
Iraq,2016,8,Japan,48.34214066
Iraq,2016,9,Central Emergency Response Fund,35.36409141
Iraq,2016,10,Norway,34.17074069
Iraq,2016,-,All other donors,240.8275658
Iraq,2017,1,United States of America,476.8760106
Iraq,2017,2,Germany,381.6472332
Iraq,2017,3,EC,131.0459048
Iraq,2017,4,Japan,109.3256127
Iraq,2017,5,United Kingdom,96.51441259
Iraq,2017,6,Canada,61.50650672
Iraq,2017,7,Kuwait,41.08897136
Iraq,2017,8,France,27.60674645
Iraq,2017,9,Sweden,24.61799614
Iraq,2017,10,Norway,21.60407203
Iraq,2017,-,All other donors,134.6156053
Iraq,2018,1,United States of America,527.0236225
Iraq,2018,2,Germany,200.8692291
Iraq,2018,3,EC,51.137639
Iraq,2018,4,United Kingdom,51.04496459
Iraq,2018,5,Japan,50.535351
Iraq,2018,6,Canada,47.09835679
Iraq,2018,7,Kuwait,21.74419
Iraq,2018,8,Norway,21.448442
Iraq,2018,9,Australia,20.343437
Iraq,2018,10,Netherlands,18.89302706
Iraq,2018,-,All other donors,97.52296506
Iraq,2019,1,United States of America,472.9416042
Iraq,2019,2,Germany,155.3949187
Iraq,2019,3,EC,69.09094135
Iraq,2019,4,Canada,44.80819327
Iraq,2019,5,Japan,42.39137657
Iraq,2019,6,Australia,24.13623789
Iraq,2019,7,France,23.34853337
Iraq,2019,8,United Kingdom,22.44932445
Iraq,2019,9,Denmark,18.94081875
Iraq,2019,10,Norway,15.12874265
Iraq,2019,-,All other donors,95.29476807
Iraq,2020,1,United States of America,388.1797244
Iraq,2020,2,Germany,112.1586282
Iraq,2020,3,EC,71.90856983
Iraq,2020,4,Japan,57.80862756
Iraq,2020,5,Canada,46.37598477
Iraq,2020,6,Australia,21.84996173
Iraq,2020,7,United Kingdom,19.75974799
Iraq,2020,8,Norway,19.32401223
Iraq,2020,9,Sweden,12.73491775
Iraq,2020,10,Kuwait,12.1988188
Iraq,2020,-,All other donors,95.89643927
All Recipient Countries,2015,1,United States of America,5398.315677
All Recipient Countries,2015,2,EC,1808.273445
All Recipient Countries,2015,3,United Kingdom,1383.260234
All Recipient Countries,2015,4,Germany,912.9421784
All Recipient Countries,2015,5,United Arab Emirates,764.8505746
All Recipient Countries,2015,6,Japan,716.5674757
All Recipient Countries,2015,7,Saudi Arabia (Kingdom of),583.5587157
All Recipient Countries,2015,8,World Food Programme,525.0174971
All Recipient Countries,2015,9,Canada,516.4106753
All Recipient Countries,2015,10,Central Emergency Response Fund,512.8823369
All Recipient Countries,2015,-,All other donors,4446.611172
All Recipient Countries,2016,1,United States of America,6262.899385
All Recipient Countries,2016,2,EC,2869.509488
All Recipient Countries,2016,3,Germany,2371.986581
All Recipient Countries,2016,4,United Kingdom,1749.870208
All Recipient Countries,2016,5,United Arab Emirates,799.1940579
All Recipient Countries,2016,6,World Food Programme,778.8853276
All Recipient Countries,2016,7,Japan,675.1177558
All Recipient Countries,2016,8,Canada,603.1587154
All Recipient Countries,2016,9,Saudi Arabia (Kingdom of),502.7659597
All Recipient Countries,2016,10,Central Emergency Response Fund,491.8527714
All Recipient Countries,2016,-,All other donors,4281.553212
All Recipient Countries,2017,1,United States of America,6115.837509
All Recipient Countries,2017,2,EC,2737.615256
All Recipient Countries,2017,3,Germany,2662.661982
All Recipient Countries,2017,4,United Kingdom,1799.623016
All Recipient Countries,2017,5,Japan,629.4202586
All Recipient Countries,2017,6,Canada,603.0654322
All Recipient Countries,2017,7,Saudi Arabia (Kingdom of),470.62547
All Recipient Countries,2017,8,Central Emergency Response Fund,444.2276235
All Recipient Countries,2017,9,Sweden,436.3723916
All Recipient Countries,2017,10,Norway,422.850827
All Recipient Countries,2017,-,All other donors,4200.504985
All Recipient Countries,2018,1,United States of America,6720.592038
All Recipient Countries,2018,2,EC,3155.606211
All Recipient Countries,2018,3,United Arab Emirates,2149.929318
All Recipient Countries,2018,4,Germany,1920.921179
All Recipient Countries,2018,5,United Kingdom,1860.050803
All Recipient Countries,2018,6,Saudi Arabia (Kingdom of),1539.17387
All Recipient Countries,2018,7,Canada,636.3960903
All Recipient Countries,2018,8,Sweden,522.6708786
All Recipient Countries,2018,9,Norway,508.5780167
All Recipient Countries,2018,10,Central Emergency Response Fund,488.0184716
All Recipient Countries,2018,-,All other donors,3493.921541
All Recipient Countries,2019,1,United States of America,7978.862529
All Recipient Countries,2019,2,EC,3046.727868
All Recipient Countries,2019,3,Germany,2094.196175
All Recipient Countries,2019,4,United Kingdom,1966.792453
All Recipient Countries,2019,5,Saudi Arabia (Kingdom of),1476.305019
All Recipient Countries,2019,6,United Arab Emirates,611.349371
All Recipient Countries,2019,7,Central Emergency Response Fund,545.2402516
All Recipient Countries,2019,8,Canada,531.1340011
All Recipient Countries,2019,9,Sweden,508.6693258
All Recipient Countries,2019,10,Japan,442.6271652
All Recipient Countries,2019,-,All other donors,3755.090405
All Recipient Countries,2020,1,United States of America,8639.222985
All Recipient Countries,2020,2,EC,3004.557899
All Recipient Countries,2020,3,Germany,2422.046806
All Recipient Countries,2020,4,United Kingdom,1734.498947
All Recipient Countries,2020,5,Japan,934.8101701
All Recipient Countries,2020,6,Central Emergency Response Fund,785.8329584
All Recipient Countries,2020,7,Saudi Arabia (Kingdom of),579.0514169
All Recipient Countries,2020,8,Canada,564.52724
All Recipient Countries,2020,9,Norway,523.5765495
All Recipient Countries,2020,10,Sweden,441.5097441
All Recipient Countries,2020,-,All other donors,3606.148242
